No.,Nombre_montana,Altura,Score,Vistas,Ubicacion
273,"""Daogou""",5466,86.2%,12364,"""SichuanProvince,China,Asia"""
274,"""Yanapaccha""",5460,93.48%,30397,"""Ancash,Peru,SouthAmerica"""
275,"""Popocatépetl""",5452,95.56%,97815,"""Puebla,Mexico,NorthAmerica"""
276,"""Chibu (Qupu, Chupu)""",5450,88.61%,8178,"""SichuanProvince,Asia"""
277,"""Cerro Cerani""",5450,80.49%,7061,"""Peru,SouthAmerica"""
278,"""Mount Bogda""",5448,79.04%,28559,"""Xinjiang,China,Asia"""
279,"""Cerro Soray""",5446,80.49%,4832,"""Peru,SouthAmerica"""
280,"""Cerro Vallecitos""",5435,89.97%,29821,"""Mendoza,Argentina,SouthAmerica"""
281,"""Manso""",5434,83.69%,10758,"""Mendoza,Argentina,SouthAmerica"""
282,"""Huamashraju""",5434,75.81%,6159,"""Ancash,Peru,SouthAmerica"""
283,"""Banji Feng""",5430,84.27%,11411,"""Sichuan-AbaPref.,Sichuan,China,Asia"""
284,"""Nevado Huarancante""",5426,90.81%,7027,"""Arequipa,Peru,SouthAmerica"""
285,"""Cerro el Plomo, Chile""",5424,81.17%,21924,"""Santiago,Chile,SouthAmerica"""
286,"""Urus Este""",5420,87.3%,39807,"""CordilleraBlanca,Peru,SouthAmerica"""
287,"""Jatunmontepuncu / Huapi""",5415,85.36%,8771,"""Ancash,Peru,SouthAmerica"""
288,"""Niupeng Peak (Banjfeng)""",5414,78.27%,6300,"""Sichuan-AbaPrefecture,China,Asia"""
289,"""Pomiu (Puniu, Shenshan, Celestial Peak)""",5413,88.5%,29520,"""SichuanProvince,China,Asia"""
290,"""Huarapasca""",5412,75.19%,9499,"""Peru,SouthAmerica"""
291,"""Rajuntay""",5412,78.27%,4920,"""CordilleraCentral,Peru,SouthAmerica"""
